StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19,7,1,2,0,0,1,0,2.929195591667681,2.0
1002,18,0,0,1,15,0,0,1,0,0,0,0,3.042914833436377,1.0
1003,15,0,2,3,4,26,0,2,0,0,0,0,0.1126022544661815,4.0
1004,17,1,0,3,10,14,0,3,1,0,0,0,2.0542181397029484,3.0
1005,17,1,0,2,4,17,1,3,0,0,0,0,1.2880611817953875,4.0
1006,18,0,0,1,8,0,0,1,1,0,0,0,3.0841836144863937,1.0
1007,15,0,1,1,15,10,0,3,0,1,0,0,2.748237414891583,2.0
1008,15,1,1,4,15,22,1,1,1,0,0,0,1.360142712316461,4.0
1009,17,0,0,0,4,1,0,2,0,1,0,1,2.896819189513569,2.0
1010,16,1,0,1,18,0,0,3,1,0,0,0,3.5734742103297656,0.0
1011,17,0,0,1,11,11,0,1,0,0,0,0,2.1471716250185144,3.0
1012,17,0,0,1,7,15,0,2,0,0,0,1,1.5595945190402771,4.0
1013,17,0,1,1,10,21,0,3,1,0,0,0,1.520077814874808,4.0
1014,17,0,1,2,12,21,0,4,0,1,0,0,1.7515809583340785,4.0
1015,18,1,0,1,11,9,1,2,0,0,0,0,2.396788117124796,3.0
1016,15,0,0,2,9,17,1,0,0,1,0,0,1.3415207165346672,4.0
1017,18,0,3,1,10,14,0,2,1,1,0,0,2.232175277715976,3.0
1018,18,1,0,0,3,16,1,2,0,0,0,0,1.3844041756940335,4.0
1019,18,0,1,3,16,29,0,2,1,0,0,1,0.4695533233798704,4.0
1020,17,0,0,1,10,9,0,2,0,0,1,0,2.3957840945307,3.0
1021,16,1,0,3,2,2,0,3,0,0,0,1,2.778411299920653,2.0
1022,15,0,0,2,15,25,0,1,1,0,0,0,0.3468940367050148,4.0
1023,16,1,1,0,18,29,1,1,0,0,0,0,0.3125462305253549,4.0
1024,18,1,3,4,18,20,0,2,1,0,0,0,1.7701318767799732,4.0
1025,18,1,0,1,7,15,0,2,0,0,0,0,1.5051556220362858,4.0
1026,16,1,0,3,2,5,0,4,0,0,1,0,2.977851918315743,2.0
1027,16,0,0,1,10,2,0,2,0,1,0,0,2.948717671911921,2.0
1028,16,1,0,3,2,8,0,3,0,0,1,0,2.145204720467192,3.0
1029,18,0,0,0,18,10,0,3,1,0,0,0,2.854803928981318,2.0
1030,18,0,0,2,3,20,0,3,1,0,0,0,1.519441725815139,4.0
1031,15,0,2,2,5,12,1,0,0,1,0,0,1.727120309522409,4.0
1032,15,0,0,3,8,17,0,4,0,0,0,1,1.8475354711387904,4.0
1033,18,0,0,3,7,25,0,1,0,1,0,0,0.3846169728564877,4.0
1034,16,0,3,3,15,21,0,0,1,1,0,0,0.94940609779728,4.0
1035,16,0,0,3,9,27,1,2,1,1,0,0,1.1409594184203395,4.0
1036,15,0,3,1,3,23,0,1,0,0,0,0,0.2614722600507521,4.0
1037,18,0,0,1,5,26,1,1,0,0,0,0,0.2182848568210317,4.0
1038,15,0,2,1,10,21,1,1,0,1,0,0,1.0677635510419796,4.0
1039,15,1,1,1,2,3,1,1,1,1,0,0,3.0189058584279675,1.0
1040,17,1,2,1,12,21,1,3,1,1,0,0,1.5268678317927231,4.0
1041,17,1,3,2,11,23,1,1,0,0,0,0,1.0582873996898603,4.0
1042,17,0,0,1,14,7,0,2,0,0,0,0,2.625128097732231,2.0
1043,16,1,3,2,18,12,1,4,0,0,0,0,2.8087548220286536,2.0
1044,18,1,0,1,18,9,0,2,0,1,0,0,2.888891669272444,2.0
1045,18,1,0,1,18,1,1,3,1,1,0,0,4.0,0.0
1046,18,0,0,2,4,7,0,4,0,0,1,0,2.515300272256249,2.0
1047,18,0,1,2,2,5,0,1,1,0,0,0,2.5637654300150947,2.0
1048,17,0,0,2,6,15,0,2,0,0,0,0,1.7036118032323682,4.0
1049,16,0,1,2,17,17,0,3,0,0,1,0,2.0998851567205854,3.0
1050,16,1,1,1,19,16,0,4,1,0,0,0,2.4610469629080955,3.0
1051,17,1,2,2,17,5,0,3,0,0,0,0,2.935477191694632,2.0
1052,16,1,2,0,2,12,1,1,1,0,1,0,1.9863780592187463,4.0
1053,17,1,0,1,18,22,0,4,0,0,1,0,1.5715441913992825,4.0
1054,18,0,0,2,8,13,0,1,0,1,0,0,1.6643106896610833,4.0
1055,17,0,0,0,0,29,1,2,1,1,0,0,0.7562591665741925,4.0
1056,18,0,0,1,8,25,0,2,0,1,0,0,0.8027695392342074,4.0
1057,18,1,0,4,0,20,0,2,0,1,1,0,1.3423871779577343,4.0
1058,15,0,0,4,10,29,0,3,1,0,0,0,0.2865712882866222,4.0
1059,17,0,0,1,6,9,1,3,0,1,0,0,2.61383869367367,2.0
1060,15,1,3,0,9,23,0,3,0,1,0,0,0.9290125546259368,4.0
1061,17,1,1,1,12,10,0,0,1,0,1,0,1.892758695926592,4.0
1062,17,0,0,1,17,12,0,2,0,0,1,0,2.331261549308754,3.0
1063,15,0,1,3,13,11,0,3,0,1,0,0,2.234238472600233,3.0
1064,15,0,0,1,8,8,0,2,0,1,0,0,2.3858282190764624,3.0
1065,17,0,0,2,16,3,1,4,0,0,0,0,3.347356743507809,1.0
1066,16,0,1,1,18,6,1,3,1,0,0,0,3.2618553073332905,1.0
1067,18,0,0,4,2,23,0,3,0,1,0,0,1.0396238791477144,4.0
1068,15,1,0,1,10,28,0,0,0,1,0,0,0.0278186247324679,4.0
1069,18,1,3,2,5,21,1,3,0,0,1,0,1.3299645378768772,4.0
1070,16,1,2,1,0,1,0,4,0,0,1,0,3.283916521897384,1.0
1071,16,0,1,2,13,6,0,2,1,0,0,0,2.937454182316864,2.0
1072,16,1,1,1,17,28,0,3,0,0,1,1,0.7388682028052602,4.0
1073,15,0,1,1,3,8,0,2,1,1,0,0,2.556801662833417,2.0
1074,16,0,0,3,16,4,1,2,0,0,0,0,3.300928568970799,1.0
1075,15,1,0,3,17,14,0,3,1,0,1,0,2.200682946560561,3.0
1076,16,0,0,3,18,17,0,3,0,1,0,0,1.8558655731681932,4.0
1077,18,0,0,2,5,3,0,3,0,0,0,0,2.734401494419992,2.0
1078,18,1,1,3,18,18,1,1,1,1,0,0,2.1317372971872284,3.0
1079,17,1,0,0,6,19,0,1,0,0,0,0,0.9797699107752862,4.0
1080,18,1,3,1,11,25,0,3,0,1,0,0,0.994325023551287,4.0
1081,17,0,3,1,1,6,0,1,0,1,0,0,2.0746999767813343,3.0
1082,18,1,2,2,0,25,0,2,0,0,0,0,0.500508035804656,4.0
1083,15,1,1,1,14,7,0,0,1,1,0,0,2.532438417587673,2.0
1084,18,0,2,1,8,16,0,1,0,1,0,0,1.4633780357856976,4.0
1085,17,1,0,2,5,12,0,3,1,1,0,0,2.342836773191855,3.0
1086,17,1,2,3,3,23,0,3,0,0,0,0,1.1588463344506037,4.0
1087,16,1,0,1,13,20,1,1,1,0,1,1,1.5237487447337323,4.0
1088,15,0,2,1,0,27,0,1,0,0,1,0,0.0,4.0
1089,18,0,0,1,16,22,0,0,1,0,1,0,1.0586220144439875,4.0
